critical_level,violation_description,violation_date
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",05/24/2017
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",11/09/2018
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",06/15/2018
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",01/15/2019
C,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,01/29/2018
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",10/16/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,07/11/2018
C,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,05/01/2018
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",09/11/2019
C,Evidence of rats or live rats present in facility's food and/or non-food areas.,06/05/2017
C,Food Protection Certificate not held by supervisor of food operations.,11/04/2019
C,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,03/06/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,03/15/2017
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",07/13/2018
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",01/09/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,04/30/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,07/18/2017
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",12/22/2017
C,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,05/03/2018
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",09/12/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,08/13/2018
C,Food Protection Certificate not held by supervisor of food operations.,03/07/2018
C,Live roaches present in facility's food and/or non-food areas.,01/18/2019
C,Live roaches present in facility's food and/or non-food areas.,03/07/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,10/18/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,03/20/2018
C,Live roaches present in facility's food and/or non-food areas.,08/01/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,12/12/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,01/16/2018
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",12/31/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,11/08/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,04/18/2019
C,Hot food item not held at or above 140º F.,03/15/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,11/09/2017
C,Hot food item not held at or above 140º F.,05/30/2019
C,Food Protection Certificate not held by supervisor of food operations.,11/25/2019
C,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",04/27/2018
C,Live roaches present in facility's food and/or non-food areas.,07/11/2019
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",01/11/2017
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",08/01/2017
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",07/10/2019
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",07/12/2019
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",07/09/2018
C,Live roaches present in facility's food and/or non-food areas.,03/01/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,10/10/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,11/28/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,06/20/2019
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",11/16/2017
C,"Toxic chemical improperly labeled, stored or used such that food contamination may occur.",12/28/2017
C,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,11/07/2018
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",05/03/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,08/22/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,10/02/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,08/15/2018
C,Food Protection Certificate not held by supervisor of food operations.,03/01/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,09/11/2019
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",05/10/2018
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",12/28/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,05/09/2019
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",03/07/2017
C,Hot food item not held at or above 140º F.,03/01/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,02/10/2017
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",01/23/2018
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",03/08/2018
C,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,06/03/2019
C,Food Protection Certificate not held by supervisor of food operations.,01/05/2017
C,Live roaches present in facility's food and/or non-food areas.,08/14/2017
C,Food Protection Certificate not held by supervisor of food operations.,11/21/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,10/02/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,07/26/2018
C,Live roaches present in facility's food and/or non-food areas.,05/14/2018
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",06/17/2019
C,Food Protection Certificate not held by supervisor of food operations.,05/29/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,01/25/2017
C,Hot food item not held at or above 140º F.,03/07/2017
C,Food Protection Certificate not held by supervisor of food operations.,05/19/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,12/20/2018
C,Hot food item not held at or above 140º F.,11/09/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,06/18/2018
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",07/08/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,08/02/2017
C,Food Protection Certificate not held by supervisor of food operations.,05/25/2017
C,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,01/13/2017
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",08/14/2019
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",07/31/2018
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",03/02/2017
C,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,05/18/2017
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",04/26/2018
C,Hot food item not held at or above 140º F.,04/09/2019
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",06/14/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,11/21/2017
C,Live roaches present in facility's food and/or non-food areas.,12/14/2017
C,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",03/06/2017
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",06/05/2019
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",10/24/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,07/09/2019
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",06/05/2018
C,"No facilities available to wash, rinse and sanitize utensils and/or equipment.",01/15/2019
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",12/10/2019
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",09/17/2019
C,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,09/14/2017
C,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",10/05/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,01/24/2018
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",11/03/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,12/22/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,04/28/2017
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",09/13/2018
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",07/19/2018
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",02/16/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,03/07/2017
C,Hot food item not held at or above 140º F.,11/01/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,03/01/2019
C,Food Protection Certificate not held by supervisor of food operations.,06/21/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,04/12/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,07/03/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,09/19/2019
C,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",02/04/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,03/27/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,08/20/2018
C,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,08/21/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,12/11/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,03/23/2017
C,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,05/29/2019
C,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,09/28/2017
C,Live roaches present in facility's food and/or non-food areas.,08/09/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,06/11/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,05/13/2019
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",02/07/2019
C,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,06/19/2017
C,Food Protection Certificate not held by supervisor of food operations.,05/14/2018
C,Hot food item not held at or above 140º F.,03/15/2017
C,Food Protection Certificate not held by supervisor of food operations.,01/25/2018
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",03/20/2019
C,Food Protection Certificate not held by supervisor of food operations.,06/11/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,06/11/2019
C,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,02/11/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,12/27/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,11/01/2017
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",01/17/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,01/15/2019
C,Hot food item not held at or above 140º F.,06/11/2018
C,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,05/20/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,10/08/2019
C,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,04/05/2017
C,Duties of an officer of the Department interfered with or obstructed.,03/07/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,03/26/2019
C,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",05/14/2019
C,Live roaches present in facility's food and/or non-food areas.,03/13/2017
C,Food Protection Certificate not held by supervisor of food operations.,10/12/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,08/07/2018
C,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,12/14/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,08/02/2019
C,Live roaches present in facility's food and/or non-food areas.,11/16/2018
C,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,10/15/2018
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",11/15/2017
C,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,07/30/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,02/26/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,12/04/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,02/01/2017
C,Food Protection Certificate not held by supervisor of food operations.,06/24/2019
C,Food Protection Certificate not held by supervisor of food operations.,09/14/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,04/25/2018
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",11/08/2017
C,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",08/24/2017
C,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,06/11/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,08/04/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,10/04/2019
C,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,12/20/2018
C,Hot food item not held at or above 140º F.,06/07/2018
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",06/26/2019
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",06/15/2018
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",02/28/2019
C,Live roaches present in facility's food and/or non-food areas.,08/10/2018
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",08/13/2018
C,Live roaches present in facility's food and/or non-food areas.,05/29/2019
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",04/10/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,05/25/2017
C,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",09/24/2019
C,Live roaches present in facility's food and/or non-food areas.,05/17/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,03/15/2018
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",10/22/2019
C,Food Protection Certificate not held by supervisor of food operations.,05/01/2018
C,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,09/17/2019
C,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",12/03/2019
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",08/15/2017
C,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,01/24/2018
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",08/08/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,03/15/2019
C,Live roaches present in facility's food and/or non-food areas.,03/23/2017
C,Food Protection Certificate not held by supervisor of food operations.,05/02/2018
C,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,02/28/2018
C,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,04/04/2017
C,Food Protection Certificate not held by supervisor of food operations.,10/11/2019
C,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,11/14/2019
C,Live roaches present in facility's food and/or non-food areas.,02/08/2018
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",01/22/2019
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",01/25/2018
C,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,02/05/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,05/31/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,06/12/2018
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",11/16/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,08/17/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,11/20/2017
C,Live roaches present in facility's food and/or non-food areas.,03/07/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,05/25/2017
C,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,08/08/2018
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",08/29/2017
C,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,04/24/2018
C,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,02/16/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,06/19/2018
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",05/31/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,05/02/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,10/16/2017
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",07/13/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,05/21/2019
C,"Toxic chemical improperly labeled, stored or used such that food contamination may occur.",06/03/2019
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",05/14/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,05/09/2017
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",11/08/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,03/03/2017
C,Live roaches present in facility's food and/or non-food areas.,05/29/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,07/03/2018
C,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,09/28/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,05/02/2018
C,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,01/15/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,07/16/2019
C,Food Protection Certificate not held by supervisor of food operations.,11/01/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,01/31/2019
C,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,05/26/2017
C,Evidence of rats or live rats present in facility's food and/or non-food areas.,10/04/2018
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",04/21/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,02/25/2019
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",05/12/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,04/24/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,06/06/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,05/14/2019
C,Food Protection Certificate not held by supervisor of food operations.,01/09/2019
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",12/13/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,09/21/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,04/09/2019
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",05/17/2018
C,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,03/28/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,01/29/2018
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",09/11/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,11/06/2017
C,Hot food item not held at or above 140º F.,05/23/2017
C,Food Protection Certificate not held by supervisor of food operations.,10/04/2019
C,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,03/06/2018
C,Food Protection Certificate not held by supervisor of food operations.,06/05/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,08/25/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,12/07/2017
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",03/28/2017
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",02/15/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,01/10/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,06/13/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,10/19/2017
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",10/10/2019
C,Food Protection Certificate not held by supervisor of food operations.,09/19/2017
